Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,Fisher norm,gradient norm of local entropy,Classical Entropy,Trace,Low pass filter
28,0.5,6,0.0,0.01,32,False,True,0.00703944219276309, 20.374000549316406,42.178566724200174,47747955.32510589,236.95209002823756,238.67332458496094,0.014449939131736755,0.018579786643385887,918.7759438662538,1.0508377769589423,
29,0.5,8,0.0,0.01,32,False,True,0.008108342997729778, 18.625999450683594,35.63443191787082,63436448.23416805,294.2390875206759,156.36630249023438,0.019046073779463768,0.018876196816563606,943.65802846908,1.419164887070656,
30,0.5,4,0.0001,0.01,32,False,True,0.009307047352194786, 21.40599822998047,43.29073090731339,26058054.652168665,260.4773262685257,214.43800354003906,0.01004245225340128,0.020796408876776695,932.3588354034018,0.6294366225600243,
31,0.5,6,0.0001,0.01,32,False,True,0.007878153584897518, 19.573997497558594,44.8857880124482,44073827.72848796,257.63282375310797,208.4290771484375,0.01448897272348404,0.019655579701066017,921.7544977270784,0.9674460178613663,
32,0.5,8,0.0001,0.01,32,False,True,0.00968976691365242, 18.987998962402344,49.08434672547494,76331147.49818183,297.8961385701399,207.65948486328125,0.01909957453608513,0.02264798805117607,1021.677049038099,1.4866021871566772,
33,0.5,4,0.0005,0.01,32,False,True,0.004246072378009558, 17.314002990722656,22.26229170658223,7067858.230330528,39.91013158980593,62.81589126586914,0.009596062824130058,0.016742484644055367,151.18945842939462,0.07910345643758773,
34,0.5,6,0.0005,0.01,32,False,True,0.009726322256028652, 18.498001098632812,27.961712804096653,28580620.02964871,164.86602633843336,156.18533325195312,0.014449885115027428,0.027577489614486694,603.5299578685367,0.40144799813628196,
35,0.5,8,0.0005,0.01,32,False,True,0.006945609115064144, 18.70000457763672,25.14314707984566,33256402.067656066,92.80837006804667,104.5626220703125,0.01894625648856163,0.019998721778392792,349.28822605712026,0.3731811664998531,
36,0.9,4,0.0,0.01,32,True,True,0.008899783715605736, 18.314002990722656,25.314112451314273,9864011.551038358,85.63977119397418,99.69950866699219,0.009939076378941536,0.016394896432757378,289.14865099452123,0.10758535217493773,
37,0.9,6,0.0,0.01,32,True,True,0.009765678085386753, 17.942001342773438,20.713759811076237,15515661.069435561,76.86204794345842,103.82715606689453,0.014524190686643124,0.019071383401751518,273.44475250157006,0.11541321586817503,
38,0.9,8,0.0,0.01,32,True,True,0.00626454409211874, 17.506004333496094,19.312834315154632,22917171.609734733,58.64472574257531,64.95172119140625,0.019056182354688644,0.012995811179280281,193.6318074448559,0.09682969946414233,
39,0.9,4,0.0001,0.01,32,True,True,0.008254654705524445, 18.417999267578125,18.102627453850697,7558031.576109999,53.71712975668818,77.43962097167969,0.009780267253518105,0.018992403522133827,180.73170362689007,0.06153477156534791,
40,0.9,6,0.0001,0.01,32,True,True,0.005019006785005331, 17.64599609375,16.82181693363866,10657940.54835512,40.90962045654344,50.287689208984375,0.01438093837350607,0.012512849643826485,122.93621165485175,0.04449606208130717,
41,0.9,8,0.0001,0.01,32,True,True,0.006824042182415724, 17.218002319335938,16.73458189409611,17272700.728425764,42.62380433852734,78.720947265625,0.019038191065192223,0.015153550542891026,151.767595839654,0.06759955244138836,
42,0.9,4,0.0005,0.01,32,True,True,0.004728744272142649, 14.711997985839844,7.699145780957723,2807585.519696301,8.048770540545647,21.064395904541016,0.009576711803674698,0.02321009151637554,32.1752083596899,0.016842622654512526,
43,0.9,6,0.0005,0.01,32,True,True,0.0030963579192757607, 13.198005676269531,5.171774821254946,3877569.0827627867,3.8776809278293847,14.077898025512695,0.014302532188594341,0.016942216083407402,17.94984506288868,0.011282638451084494,
44,0.9,8,0.0005,0.01,32,True,True,0.002969786524772644, 13.345993041992188,5.0950907562114995,5003474.000222004,3.3343001553001743,10.722768783569336,0.018955836072564125,0.01660201884806156,13.876530582503909,0.010311050023883581,
45,0.9,4,0.0,0.01,32,False,True,0.009853688068687916, 17.878005981445312,22.417374134005417,8500471.047617644,70.61064566515448,187.01766967773438,0.00988023355603218,0.017850684002041817,313.80278740234013,0.10450467094779015,
46,0.9,6,0.0,0.01,32,False,True,0.007002303842455149, 16.195999145507812,18.68520783205685,12359987.480636988,55.25452249236595,115.61942291259766,0.014377038925886154,0.013299551792442799,236.62765112570727,0.09444581881165505,
47,0.9,8,0.0,0.01,32,False,True,0.00918479822576046, 15.746002197265625,21.62534035766546,16335334.269648014,74.91076397016487,103.33393096923828,0.018990973010659218,0.016037078574299812,239.74376273339442,0.09490707583725452,
48,0.9,4,0.0001,0.01,32,False,True,0.007371356710791588, 16.795997619628906,9.725290220515634,4616653.64239052,28.698927122259292,100.01512145996094,0.00967907439917326,0.016403570771217346,127.96582014761762,0.0422492147795856,
49,0.9,6,0.0001,0.01,32,False,True,0.008944619446992874, 15.800003051757812,18.590706586064663,8529037.386658715,41.4709208997514,139.12857055664062,0.014367491938173771,0.01789323426783085,162.324219119095,0.0570789384841919,
50,0.9,8,0.0001,0.01,32,False,True,0.00995717290788889, 15.349998474121094,16.670804288115924,13694966.372021873,47.434324457282514,89.28386688232422,0.01894315332174301,0.020729972049593925,186.33909524349446,0.07024623926728964,
51,0.9,4,0.0005,0.01,32,False,True,0.006054413504898548, 13.708000183105469,8.92348102835691,2718118.4219873305,14.30824183125788,56.56415557861328,0.009510794654488564,0.028894077986478806,51.07044558804849,0.023009222988039254,
52,0.9,6,0.0005,0.01,32,False,True,0.00393674848601222, 13.232002258300781,7.690919342506916,3379138.1675891997,6.604837794654852,36.74241256713867,0.014194944873452187,0.021007981151342392,27.224318489627795,0.014673192258924246,
53,0.9,8,0.0005,0.01,32,False,True,0.003784086788073182, 12.253997802734375,6.109160887232419,4440680.942215258,4.004272801437854,30.877254486083984,0.01881125569343567,0.021291449666023254,18.839501589318683,0.012550482470542192,
54,0.0,4,0.0,0.0075,32,True,True,0.007122441660612822, 28.624000549316406,54.71583196811539,71508326.78379078,465.32317398771363,189.39596557617188,0.009902656078338623,0.02467799000442028,1863.6456123730886,2.416126935482025,
55,0.0,6,0.0,0.0075,32,True,True,0.007249440066516399, 27.23199462890625,72.92901789852738,128332083.33419426,646.7587214332715,281.78997802734375,0.014581046998500824,0.022713614627718925,2118.8728232815897,4.096431679725647,
56,0.0,8,0.0,0.0075,32,True,True,0.00444703409448266, 26.807998657226562,74.19415434697703,194566259.86257485,427.0806971463356,144.23483276367188,0.019073260948061943,0.015434742905199528,1571.5239090977834,4.902229876518249,
57,0.0,4,0.0001,0.0075,32,True,True,0.009320392273366451, 27.986000061035156,69.24867916462517,72257700.7512882,704.5526284458813,209.77801513671875,0.010059350170195103,0.030666442587971687,2229.4427315421744,2.278153157234192,
58,0.0,6,0.0001,0.0075,32,True,True,0.0044296737760305405, 27.76799774169922,78.82832168878338,127394953.53366625,473.82919852516477,183.71258544921875,0.014454804360866547,0.016492264345288277,1512.179967373218,3.4755878293514253,
59,0.0,8,0.0001,0.0075,32,True,True,0.0025129816494882107, 26.28400421142578,60.75218655198767,194549203.59705463,285.5300170297337,89.43428802490234,0.019011061638593674,0.011476418934762478,1027.6177995065536,4.614595617055893,
60,0.0,4,0.0005,0.0075,32,True,True,0.00993294082581997, 27.800003051757812,55.651393968143815,59202936.75147704,624.6682869731743,246.5619659423828,0.010032735764980316,0.033952683210372925,2175.433228818308,1.9541043090820311,
61,0.0,6,0.0005,0.0075,32,True,True,0.00906017329543829, 26.493995666503906,61.91179978037268,118805953.64037742,611.8118327966532,322.899658203125,0.014627786353230476,0.028704194352030754,2168.6882709289607,2.9035556507110596,
