exp_num,width,batchnorm,skip,opt,epoch,lr,wd,bs,mo,lrdecay,trainloss,trainerr,valloss,valerr,flatness,div
438,4, True, True, sgd,250,0.01,0.01,3.20E+01,0, True,0.019929842,0.002,0.380848558,11.22,0.006742931,3.19238597
349,6, True, True, sgd,250,0.005,0.01,3.20E+01,0.5, True,0.02004834,0.002,0.350498904,10.07,0.006079925,2.607725375
133,6, True, True, sgd,250,0.01,0.01,16,0.5, True,0.020564221,0.002,0.334374253,9.7,0.007950114,2.580603031
132,4, True, True, sgd,250,0.01,0.01,1.60E+01,0.5, True,0.020004935,0.002,0.353533722,10.14,0.0073589,2.42707083
116,8, True, True, sgd,250,0.01,0.01,1.60E+01,0, True,0.018542617,0.002,0.315874899,9.21,0.005727696,2.362357133
241,6, True, True, sgd,250,0.05,0.01,1.60E+01,0.5, True,0.017513742,0.002,0.429691961,12.32,0.006730182,2.337927195
24,4, True, True, sgd,250,0.005,0.01,16,0.5, True,0.018888903,0.002,0.34344882,9.65,0.005470486,2.285726686
115,6, True, True, sgd,250,0.01,0.01,16,0, True,0.020051169,0.002,0.33345829,9.57,0.005672714,2.267386987
8,8, True, True, sgd,250,0.005,0.01,1.60E+01,0, True,0.019027426,0.002,0.342957421,10.22,0.005444694,2.247701529
242,8, True, True, sgd,250,0.05,0.01,16,0.5, True,0.017086428,0.002,0.408988473,11.85,0.00658869,2.22960472
350,8, True, True, sgd,250,0.005,0.01,32,0.5, True,0.020077935,0.002,0.338954745,9.73,0.005429646,2.10811807
42,4, True, True, sgd,250,0.005,0.01,1.60E+01,0.9, True,0.01927636,0,0.416425624,12.29,0.007126591,3.711145474
348,4, True, True, sgd,250,0.005,0.01,3.20E+01,0.5, True,0.020275009,0,0.379351693,10.95,0.007075652,3.594176299
43,6, True, True, sgd,250,0.005,0.01,16,0.9, True,0.019841898,0,0.390651183,11.17,0.007198177,3.455548008
564,4, True, True, sgd,250,0.05,0.01,32,0.5, True,0.018419897,0,0.431227927,12.66,0.006796955,3.294656801
222,4, True, True, sgd,250,0.05,0.01,16,0, True,0.018350573,0,0.409548121,11.6,0.006403719,3.028339726
223,6, True, True, sgd,250,0.05,0.01,16,0, True,0.019336421,0,0.378027544,11.02,0.006676289,3.027877491
44,8, True, True, sgd,250,0.005,0.01,16,0.9, True,0.018363968,0,0.369518169,10.9,0.006387421,2.932470951
475,6, True, True, sgd,250,0.01,0.01,3.20E+01,0.9, True,0.017754829,0,0.430950273,12.29,0.006114427,2.71403433
439,6, True, True, sgd,250,0.01,0.01,32,0, True,0.020070142,0,0.346435502,10.35,0.006227339,2.692408449
781,6, True, True, sgd,250,0.01,0.01,64,0.5, True,0.020088739,0,0.363275157,10.45,0.007705794,2.68717658
330,4, True, True, sgd,250,0.005,0.01,32,0, True,0.019720748,0,0.455689003,13.51,0.007517666,2.684473437
114,4, True, True, sgd,250,0.01,0.01,1.60E+01,0, True,0.019103621,0,0.347627238,9.96,0.005957176,2.605089565
25,6, True, True, sgd,250,0.005,0.01,1.60E+01,0.5, True,0.0200489,0,0.326953625,9.53,0.006119881,2.551114639
134,8, True, True, sgd,250,0.01,0.01,16,0.5, True,0.018907388,0,0.32063529,9.18,0.007476182,2.535149184
150,4, True, True, sgd,250,0.01,0.01,16,0.9, True,0.018670575,0,0.489382922,14.21,0.005623449,2.491558811
691,6, True, True, sgd,250,0.005,0.01,6.40E+01,0.9, True,0.019296456,0,0.341557252,9.66,0.008528386,2.456488129
