Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
125,0.9,4,0.0005,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
126,0.0,4,0.0,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
127,0.0,4,0.0001,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
128,0.0,4,0.0005,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
129,0.0,4,0.0,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
130,0.0,4,0.0001,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
131,0.0,4,0.0005,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
132,0.5,4,0.0,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
133,0.5,4,0.0001,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
134,0.5,4,0.0005,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
135,0.5,4,0.0,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
136,0.5,4,0.0001,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
137,0.5,4,0.0005,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
138,0.9,4,0.0,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
139,0.9,4,0.0001,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
140,0.9,4,0.0005,0.0075,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
141,0.9,4,0.0,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
